City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,58.57,83,30,11.68,NZ,1680239387
1,shache,38.4167,77.2406,70.29,12,100,8.9,CN,1680239946
2,peachland,49.7665,-119.7357,48.18,84,5,3.51,CA,1680239946
3,thiruvananthapuram,8.4833,76.9167,93.18,52,20,6.91,IN,1680239947
4,los llanos de aridane,28.6585,-17.9182,74.95,24,0,12.66,ES,1680239279
5,narsaq,60.9167,-46.05,19.62,66,1,6.87,GL,1680239416
6,mahebourg,-20.4081,57.7,82.26,79,35,12.8,MU,1680239393
7,mount isa,-20.7333,139.5,94.77,24,37,6.91,AU,1680239431
8,rikitea,-23.1203,-134.9692,79.52,70,51,2.15,PF,1680239388
9,nikolskoye,59.7035,30.7861,28.29,96,100,3.04,RU,1680239401
10,bathsheba,13.2167,-59.5167,77.61,73,20,17.27,BB,1680239404
11,puerto ayora,-0.7393,-90.3518,76.55,97,48,3.0,EC,1680239387
12,kapaa,22.0752,-159.319,75.52,83,75,5.75,US,1680239389
13,ohringen,49.2017,9.5039,54.03,68,99,10.02,DE,1680239947
14,lorengau,-2.0226,147.2712,80.44,81,100,7.74,PG,1680239947
15,ahipara,-35.1667,173.1667,64.17,66,89,9.19,NZ,1680239432
16,lagoa,39.05,-27.9833,58.75,91,100,12.88,PT,1680239262
17,bredasdorp,-34.5322,20.0403,55.15,90,51,3.15,ZA,1680239399
18,hithadhoo,-0.6,73.0833,82.72,75,28,10.45,MV,1680239408
19,ushuaia,-54.8,-68.3,38.86,70,0,5.75,AR,1680239388
20,itatiba,-23.0058,-46.8389,70.32,91,4,2.01,BR,1680239948
21,lebu,-37.6167,-73.65,50.67,82,31,12.03,CL,1680239409
22,hasaki,35.7333,140.8333,66.6,60,100,12.26,JP,1680239345
23,atuona,-9.8,-139.0333,80.53,75,11,15.03,PF,1680239404
24,nalut,30.3333,10.85,58.12,34,0,9.89,LY,1680239432
25,calama,-22.4667,-68.9333,55.89,71,0,4.61,CL,1680239838
26,atasu,48.6814,71.6433,33.48,43,0,18.59,KZ,1680239948
